date,hour,type,1010A
20220109,7,PM2.5,29
20220109,8,PM2.5,27
20220109,9,PM2.5,23
20220109,10,PM2.5,21
20220109,11,PM2.5,22
20220109,12,PM2.5,27
20220109,13,PM2.5,38
20220109,14,PM2.5,52
20220109,15,PM2.5,52
20220109,16,PM2.5,51
20220109,17,PM2.5,41
20220109,18,PM2.5,42
20220109,19,PM2.5,44
20220109,20,PM2.5,45
20220109,21,PM2.5,44
20220109,22,PM2.5,47
20220109,23,PM2.5,49
20220110,0,PM2.5,50
20220110,1,PM2.5,62
20220110,2,PM2.5,63
20220110,3,PM2.5,34
20220110,4,PM2.5,16
20220110,5,PM2.5,10
20220110,6,PM2.5,6
20220110,7,PM2.5,6
20220110,8,PM2.5,6
20220110,9,PM2.5,4
20220110,10,PM2.5,4
20220110,11,PM2.5,4
20220110,12,PM2.5,4
20220110,13,PM2.5,3
20220110,14,PM2.5,4
20220110,15,PM2.5,4
20220110,16,PM2.5,3
20220110,17,PM2.5,4
20220110,18,PM2.5,4
20220110,19,PM2.5,4
20220110,20,PM2.5,4
20220110,21,PM2.5,4
20220110,22,PM2.5,5
20220110,23,PM2.5,5
20220111,0,PM2.5,6
20220111,1,PM2.5,6
20220111,2,PM2.5,5
20220111,3,PM2.5,5
20220111,4,PM2.5,6
20220111,5,PM2.5,6
20220111,6,PM2.5,5
20220111,7,PM2.5,5
20220111,8,PM2.5,7
20220111,9,PM2.5,8
20220111,10,PM2.5,8
20220111,11,PM2.5,8
20220111,12,PM2.5,9
20220111,13,PM2.5,9
20220111,14,PM2.5,9
20220111,15,PM2.5,10
20220111,16,PM2.5,11
20220111,17,PM2.5,13
20220111,18,PM2.5,15
20220111,19,PM2.5,18
20220111,20,PM2.5,21
20220111,21,PM2.5,19
20220111,22,PM2.5,18
20220111,23,PM2.5,16
20220112,0,PM2.5,16
20220112,1,PM2.5,16
20220112,2,PM2.5,16
20220112,3,PM2.5,17
20220112,4,PM2.5,17
20220112,5,PM2.5,16
20220112,6,PM2.5,25
20220112,7,PM2.5,18
20220112,8,PM2.5,20
20220112,9,PM2.5,25
20220112,10,PM2.5,24
20220112,11,PM2.5,32
20220112,12,PM2.5,24
20220112,13,PM2.5,17
20220112,14,PM2.5,13
20220112,15,PM2.5,7
20220112,16,PM2.5,8
20220112,17,PM2.5,6
20220112,18,PM2.5,7
20220112,19,PM2.5,5
20220112,20,PM2.5,5
20220112,21,PM2.5,5
20220112,22,PM2.5,5
20220112,23,PM2.5,5
20220113,0,PM2.5,6
20220113,1,PM2.5,6
20220113,2,PM2.5,7
20220113,3,PM2.5,6
20220113,4,PM2.5,6
20220113,5,PM2.5,6
20220113,6,PM2.5,6
20220113,7,PM2.5,7
20220113,8,PM2.5,8
20220113,9,PM2.5,8
20220113,10,PM2.5,7
20220113,11,PM2.5,6
20220113,12,PM2.5,7
20220113,13,PM2.5,8
20220113,14,PM2.5,7
20220113,15,PM2.5,7
20220113,16,PM2.5,8
20220113,17,PM2.5,8
20220113,18,PM2.5,9
20220113,19,PM2.5,15
20220113,20,PM2.5,21
20220113,21,PM2.5,17
20220113,22,PM2.5,13
20220113,23,PM2.5,12
20220114,0,PM2.5,11
20220114,1,PM2.5,11
20220114,2,PM2.5,11
20220114,3,PM2.5,11
20220114,4,PM2.5,11
20220114,5,PM2.5,11
20220114,6,PM2.5,12
20220114,7,PM2.5,13
20220114,8,PM2.5,15
20220114,9,PM2.5,17
20220114,10,PM2.5,20
20220114,11,PM2.5,22
20220114,12,PM2.5,28
20220114,13,PM2.5,49
20220114,14,PM2.5,54
20220114,15,PM2.5,58
20220114,16,PM2.5,71
20220114,17,PM2.5,87
20220114,18,PM2.5,104
20220114,19,PM2.5,113
20220114,20,PM2.5,98
20220114,21,PM2.5,95
20220114,22,PM2.5,96
20220114,23,PM2.5,95
20220115,0,PM2.5,99
20220115,1,PM2.5,105
20220115,2,PM2.5,105
20220115,3,PM2.5,99
20220115,4,PM2.5,98
20220115,5,PM2.5,95
20220115,6,PM2.5,89
20220115,7,PM2.5,40
20220115,8,PM2.5,26
20220115,9,PM2.5,12
20220115,10,PM2.5,8
20220115,11,PM2.5,9
20220115,12,PM2.5,11
20220115,13,PM2.5,12
20220115,14,PM2.5,10
20220115,15,PM2.5,5
20220115,16,PM2.5,3
20220115,17,PM2.5,3
20220115,18,PM2.5,3
20220115,19,PM2.5,3
20220115,20,PM2.5,3
20220115,21,PM2.5,3
20220115,22,PM2.5,4
20220115,23,PM2.5,4
20220116,0,PM2.5,4
20220116,1,PM2.5,4
20220116,2,PM2.5,3
20220116,3,PM2.5,4
20220116,4,PM2.5,6
20220116,5,PM2.5,5
20220116,6,PM2.5,7
20220116,7,PM2.5,8
20220116,8,PM2.5,7
20220116,9,PM2.5,9
20220116,10,PM2.5,9
20220116,11,PM2.5,12
20220116,12,PM2.5,9
20220116,13,PM2.5,9
20220116,14,PM2.5,9
20220116,15,PM2.5,9
20220116,16,PM2.5,10
20220116,17,PM2.5,10
20220116,18,PM2.5,12
20220116,19,PM2.5,15
20220116,20,PM2.5,19
20220116,21,PM2.5,15
20220116,22,PM2.5,14
20220116,23,PM2.5,15
20220117,0,PM2.5,18
20220117,1,PM2.5,17
20220117,2,PM2.5,22
20220117,3,PM2.5,25
20220117,4,PM2.5,18
20220117,5,PM2.5,10
20220117,6,PM2.5,10
20220117,7,PM2.5,7
20220117,8,PM2.5,7
20220117,9,PM2.5,6
20220117,10,PM2.5,5
20220117,11,PM2.5,5
20220117,12,PM2.5,5
20220117,13,PM2.5,6
20220117,14,PM2.5,6
20220117,15,PM2.5,6
20220117,16,PM2.5,5
20220117,17,PM2.5,10
20220117,18,PM2.5,18
20220117,19,PM2.5,24
20220117,20,PM2.5,29
20220117,21,PM2.5,31
20220117,22,PM2.5,25
20220117,23,PM2.5,22
20220118,0,PM2.5,24
20220118,1,PM2.5,22
20220118,2,PM2.5,27
20220118,3,PM2.5,19
20220118,4,PM2.5,19
20220118,5,PM2.5,21
20220118,6,PM2.5,20
20220118,7,PM2.5,21
20220118,8,PM2.5,23
20220118,9,PM2.5,25
20220118,10,PM2.5,29
20220118,11,PM2.5,37
20220118,12,PM2.5,38
20220118,13,PM2.5,47
20220118,14,PM2.5,39
20220118,15,PM2.5,46
20220118,16,PM2.5,48
20220118,17,PM2.5,53
20220118,18,PM2.5,58
20220118,19,PM2.5,66
20220118,20,PM2.5,61
20220118,21,PM2.5,53
20220118,22,PM2.5,52
20220118,23,PM2.5,53
20220119,0,PM2.5,52
20220119,1,PM2.5,51
20220119,2,PM2.5,58
20220119,3,PM2.5,77
20220119,4,PM2.5,89
20220119,5,PM2.5,82
20220119,6,PM2.5,84
20220119,7,PM2.5,75
20220119,8,PM2.5,69
20220119,9,PM2.5,66
20220119,10,PM2.5,68
20220119,11,PM2.5,69
20220119,12,PM2.5,74
20220119,13,PM2.5,72
20220119,14,PM2.5,66
20220119,15,PM2.5,57
20220119,16,PM2.5,63
20220119,17,PM2.5,61
20220119,18,PM2.5,59
20220119,19,PM2.5,54
20220119,20,PM2.5,44
20220119,21,PM2.5,39
20220119,22,PM2.5,39
20220119,23,PM2.5,41
20220120,0,PM2.5,29
20220120,1,PM2.5,23
20220120,2,PM2.5,21
20220120,3,PM2.5,18
20220120,4,PM2.5,21
20220120,5,PM2.5,34
20220120,6,PM2.5,43
20220120,7,PM2.5,42
20220120,8,PM2.5,43
20220120,9,PM2.5,42
20220120,10,PM2.5,39
20220120,11,PM2.5,40
20220120,12,PM2.5,43
20220120,13,PM2.5,45
20220120,14,PM2.5,45
20220120,15,PM2.5,46
20220120,16,PM2.5,47
20220120,17,PM2.5,47
20220120,18,PM2.5,49
20220120,19,PM2.5,52
20220120,20,PM2.5,54
